cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgzIFVsXw3OO6T21ZZR4AaABAg,"Los debates son para conocer a los contendientes, que es lo que han hecho, cuales son sus propuestas, y claro que se atacan es un debate, pero aquí claudia no supo responder, no tiene un modelo claro de salud, el seguro popular lo desaparecio Andrés Manuel, y no hay respuesta para ello, se quedo sin respuesta Claudia, por qué? Porque no las tiene, solo menciona sus premios y que seguirá el proyecto del presidente así que no tenemos nada.",3 months ago (edited),@yazzflg,UC2NXnhonyBXCS5ceuetUqtA,5,,https://yt3.ggpht.com/ytc/AIdro_l_D9tCX-tOYsnsWhfBdN2PuY_X1x7rda22VQTbDPF84MHn=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.355712
Ugy1OirIGeCYOjnwOiV4AaABAg,ay chochil chochil,3 months ago,@panlo_5737,UCTQPNClplWW1eNTlVkUFOTg,22,6,https://yt3.ggpht.com/ytc/AIdro_lDEcvZu9Ma2FG9uoD0zoy5fomWlP39McilMj_VU1TjJ_gf71EBO-aqzKbq64nmLcwjHg=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.356811
UgzZfvaVRN8te34wcKV4AaABAg,VAMOS POR MAYNEEEEEEEEEEEEEEEEEEEEEZZZZZZZZZZZZZZZZZZZZZZ,3 months ago,@karentecktorock,UC3r6EbK12zUeXuR2-Sw78Ug,1,,https://yt3.ggpht.com/M94_Xfq9Tmwit_fxzkahBeEM-_jW6yJ3x4v0qa3Piq0dibTaIrQNOqec4XTviBdrZ8hz-l2qkw=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.357886
UgyCy_Flp3Vs1olhbL14AaABAg,"24:35 Claudia, no es qué quieren hacer sino CÓMO? de dónde van a sacar tanto dinero y por qué le dan beca a jóvenes qué ni estudian ni trabajan pero a los que estudian/trabajan RARA VEZ se les apoya",3 months ago,@mariafernandacastrejongabr1122,UCbphNhPQMIqCGe8yiA3lWnw,0,,https://yt3.ggpht.com/ytc/AIdro_mBHH7DvDToNZI56TU46PCE6jl2S0ROcwumKS3IY-Ogiw8=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.359011
UgysmJ76_m89jD-IxON4AaABAg,"Ni por cual votar, creo que lo más decente es el tipo de Movimiento Ciudadano.",3 months ago,@CompartiendoconRexDavus,UCgg3yNN3HQGH4IyPMePGJOw,11,,https://yt3.ggpht.com/Q5qdr5kmhWk_5MkNpFFN7EPgQ2qd7N8H_rxS1Tgsd48RxVYOCB9XWF8MdbioTvABgs8_YcVkm88=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.360091
Ugx6fmZK_jvqpjvllbF4AaABAg,Que casualidad que el unico que no se le sacaron trapitos sucios fue a Maynez...,3 months ago,@karimjiver3847,UCLM6vqvBpJ93HvEaZdT0FJA,15,10,https://yt3.ggpht.com/ytc/AIdro_lKGsIj2WM4izx6sjDSa-F3-OJs0N-1Ry7_Ab24apNfYg=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.361186
Ugw3S8_Tq1IYidlZFW54AaABAg,Pues muy inteligente claudia y sobretodo prudente soy sección v,3 months ago,@JESUSARREDONDO-xb6ct,UCsKibTzJzvLb3gINHF1ixCw,0,,https://yt3.ggpht.com/oelQOC4PxC2748rbU57nST4kKDQRQNFG9b8rHZST7uka_kExelnTcC5E8oogjimZNDAfbnSe=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.362247
UgzPsM72e5i-zR7Wq5N4AaABAg,5:32,3 months ago,@andrescastz,UCCwuDXdfQmEkEXXcDCEOheQ,0,,https://yt3.ggpht.com/ytc/AIdro_k489dbUjVHiavMXCVBLGMHjuZ1MbGhFgMATRJyE25ZAk1KhQl3s6Hf7REnBDXFhbKjBA=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.363307
UgyupFkfDBgM-iypeHl4AaABAg,Claudia presidenta,3 months ago,@KevinHerreraPerez,UCx40P32YSoDwShCAH7uXkWA,12,,https://yt3.ggpht.com/hIrY7vH9BBPF_qJuJn7TWqPjmDWZg5uJj0DNYUd0Wk_lJxwBjq0s5-Vt5vZ5dZHsroweL34Y1gE=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.364368
UgzInfkme7ox1yIVtXV4AaABAg,"#ClaudiaPresidenta
#HidalgoPresente 
#AlmaDiputada
#Distrito4Presente
#VotaMorena",3 months ago,@alejandrosantiagogarcia4292,UCOIDOSA2_osr5zTo4xR6rYA,10,,https://yt3.ggpht.com/ytc/AIdro_n0P3r2dt_xOW7IMpld2RrxGBWw0u14CCrewTD_k6rGgh-rAJJjEjQc9tcAQhDqX28vZA=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.365457
UgxnEuvyAd2Erd2Dzhp4AaABAg,"Claudia tranquila, Xochitl con odio y mayer con su sonrriza, Colgate lo busca😂😅",3 months ago,@juancesarmontespino2164,UCX4Tyiix5GIbm-GVMkEuPrw,0,,https://yt3.ggpht.com/ytc/AIdro_mGS6a9iX7YYyMdH4fj3tNSgCc_WNOnO9vmPGqw7ss=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.366509
Ugyq6_Dmv5Y2l9VMlO54AaABAg,"Xóchitl representa a las personas que trabajamos y pagamos impuestos, no queremos dádivas. Queremos un país qué nos enseñe las cuentas, que haya mecanismos autónomos y una fiscalía que cumpla con la ley.",3 months ago,@gabrielarodriguez7519,UCiZ1v6DtcErOGp3Hx-5-ljA,0,,https://yt3.ggpht.com/ytc/AIdro_kl-LEu6v13_qt86Zc4vE6GNZWemz-ifuTumYXInPpvB3w=s88-c-k-c0x00ffffff-no-rj,False,False,1713301708.36756
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1xgrke91oz,Verdad. Aunque Maynez es el más decente a mi parecer,3 months ago,@Pech13,UC9UaRvPa1euNStO8pfnpmyw,6,,https://yt3.ggpht.com/SIo-aYGIGJVkA17cWWL0hkciMC_jzlxCXLixSfQKigbhkYSFPYRvgMuaZAMCzWtpoJjeflQK=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.584768
UgwYu88bsq4AHCL6iY94AaABAg.A1xcI9ygapqA1xiU8QS47U,"Fácil, a todos menos a Xochilt🤷🏻‍♂️",3 months ago,@juansotelo8621,UCKw_6v80eBNSq-i0mEIGZrg,0,,https://yt3.ggpht.com/ytc/AIdro_lycRRCINS60osFMT2mh9M3eT3c-FZECHQPl5CG6SgzvOM=s88-c-k-c0x00ffffff-no-rj,False,True,1713301708.591735
