cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgwBYciqOxxDiTA31qh4AaABAg,"Crea de lleno tu sección ""documentales"" Nate, te salen perfecto. Saludirijillos desde el tercer mundo.",3 years ago,@buskavideos619,UCMxsvgR4uWUrBRNsnJjxvrg,426,10,https://yt3.ggpht.com/yrgabyqLUD1CvZ06rWPyVl_DjifHeL8k6o_aC_aG88dfuV0Lmy2PBzRjkV3rL3cPCVErc6ZtNQY=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.649543
UgzWviInT4jjbzWo87F4AaABAg,"Esto es lo mejor, mucho más que History Channel, excelente informe, gracias por tan impecable narrativa.",2 years ago,@juliustm,UCX8-RAlrlnOYNytmROJg27g,6,,https://yt3.ggpht.com/-2rBoW2jrXjb7nC7bZvuR5IKiU0Juaf3gX2xlNxPmJPLiDfxiRtGirFMiJxHzDHtwk4qxbaUTA=s88-c-k-c0x00ffffff-no-rj,False,False,1658097658.650788
UgzanyvLmt15C0M2KWd4AaABAg,"19:00 Apple y google Actualmente hacen lo mismo, viven comprando empresas y adquieren su tecnologia.",2 years ago,@mraldo1987,UC6aOSEsIMKWHm_Q9n-9pnRQ,58,6,https://yt3.ggpht.com/ytc/AIdro_k-XiwSEDYbUfjeruTKILKICk7BI-tdWtaHAn8dim6fvZrx=s88-c-k-c0x00ffffff-no-rj,False,False,1658097658.651668
UgxfQY9DrmK8ZeKZjfd4AaABAg,"Me estoy muriendo de suspenso, SACÁ LA PARTE DOS YAAAAAA",3 years ago,@ricardocervantes8382,UCJNOFedmnypdrg2QjDjmsIA,467,11,https://yt3.ggpht.com/ytc/AIdro_nTS-zASDGPfOhRifhXXplLWvMNaLtBZPqPrVxQIUjDOG0=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.65254
UgyY182r6gT45LNvSSJ4AaABAg,"Bill: ""No me hice rico firmando cheques señor""",3 years ago,@Mekkanixx,UCHfoezVs7W5K7nl0_S_-yKQ,166,4,https://yt3.ggpht.com/ytc/AIdro_nbJ5PagOSaLGBIl9EHQOpFBElXMu5W3txOOviZaAxdTQ8=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.653398
UgxoI4G7LM4D1ZMZQON4AaABAg,Buen resumen de la historia. Echo en falta una explicación de dónde Microsoft sacó la “inspiración” para su Windows. Un tema no menor.,1 year ago,@granglop3530,UCjgkDJr9d4yZPQCvPCyZtYA,14,,https://yt3.ggpht.com/ytc/AIdro_muIkcKjiUA3sQfx0CmXkBoXv-0ukbcj64yx157Hf7WESE=s88-c-k-c0x00ffffff-no-rj,False,False,1689633658.6543
UgxdfArDBsIYyb5ud0R4AaABAg,"""Hagamos que la gente use Windows y no necesite nada mas...""  en la pelicula de Silicon Valley",2 years ago,@macprototipe,UCjJ-armuQnhDLKmT6sU1TZw,18,,https://yt3.ggpht.com/ytc/AIdro_nShvr2B0GZUGXFtz2-5tPzGqYfy_FLkjlU9Fc5-W4=s88-c-k-c0x00ffffff-no-rj,False,False,1658097658.655162
UgxGk5ZEKKQbNKHbTA54AaABAg,"Nate: continuará
Mi mente: pero esto lo veremos en un próximo video",3 years ago,@JavCaRRTech,UC0FJMphQdUPA6qC_Fn4-3xA,84,1,https://yt3.ggpht.com/9fGiJUW3Z2OZDDsZEwPtr43muGCym1VpVPB49JUvhv5qD7MJgW04lBLzNqynoxyU6vYedBkPSA=s88-c-k-c0x00ffffff-no-rj,False,False,1626561658.656012
Ugy41B0aMhusUuQ3T4Z4AaABAg,"Alguien: hace un software revolucionario
Bill gates: kagaste",3 years ago,@ElianEOrtiz,UCiax_2c9Fy14tLPwoLBIoSw,250,6,https://yt3.ggpht.com/ytc/AIdro_mKM_wyRa-Jd4osYtdVXjuZV0PlY71XY2B_aV8YZweRgsR9=s88-c-k-c0x00ffffff-no-rj,True,False,1626561658.656867
UgwSEE2P73L-qaTVy8R4AaABAg,"Ya sube el otroooooooooo :'(

La verdad el mejor documental que eh visto hace años.",2 years ago (edited),@Ozzquishy7870,UC94QSR5lf5pjlXTTOp6JCDg,3,,https://yt3.ggpht.com/dF4DGm6RUhztxBbmp7U6HTkrMvvyV7Z_2AeuJeLw7OOA7vXDrN3OvHIMMlVSmRlCn5qW84jQRA=s88-c-k-c0x00ffffff-no-rj,False,False,1658097658.657734
